i;HALL_A;HALL_B;COIL_A;COIL_B
0.667995;1220;9614;56150;60362
0.668995;1150;9644;56110;60426
0.669995;1086;9670;56064;60494
0.670995;1014;9696;56026;60556
0.671995;950;9724;55986;60626
0.672995;878;9752;55946;60692
0.673995;806;9774;55902;60758
0.674995;738;9804;55862;60826
0.675995;668;9830;55826;60894
0.676995;596;9854;55786;60958
0.677995;530;9880;55750;61022
0.678995;460;9902;55710;61086
0.679995;390;9922;55678;61152
0.680995;322;9952;55634;61218
0.681995;254;9966;55602;61286
0.682995;182;9990;55570;61352
0.683995;114;10010;55526;61422
0.684995;44;10030;55492;61490
0.685995;65514;10052;55458;61564
0.686995;65444;10068;55424;61628
0.687995;65374;10092;55390;61696
0.688995;65308;10106;55354;61762
0.689995;65240;10130;55320;61828
0.690995;65170;10146;55290;61904
0.691995;65102;10162;55256;61976
0.692995;65028;10178;55222;62044
0.693995;64962;10196;55192;62122
0.694995;64890;10210;55166;62190
0.695995;64824;10226;55132;62260
0.696995;64752;10238;55100;62334
0.697995;64684;10252;55074;62404
0.698995;64618;10272;55044;62470
0.699995;64546;10282;55012;62538
0.700995;64478;10294;54988;62614
0.701995;64412;10310;54958;62686
0.702995;64342;10318;54932;62758
0.703995;64270;10332;54904;62832
0.704994;64202;10340;54874;62906
0.705994;64134;10352;54848;62976
0.706994;64072;10358;54824;63050
0.707994;64000;10372;54796;63124
0.708994;63928;10380;54772;63200
0.709994;63862;10394;54746;63272
0.710994;63796;10398;54722;63346
0.711994;63730;10410;54700;63422
0.712994;63666;10416;54678;63496
0.713994;63594;10422;54656;63568
0.714994;63526;10428;54632;63644
0.715994;63462;10436;54608;63716
0.716994;63398;10446;54586;63788
0.717994;63326;10452;54568;63858
0.718994;63262;10456;54550;63928
0.719994;63190;10458;54526;64000
0.720994;63126;10468;54506;64076
0.721994;63054;10470;54488;64156
0.722994;62988;10470;54468;64228
0.723994;62922;10478;54446;64304
0.724994;62858;10480;54430;64382
0.725994;62792;10482;54412;64460
0.726994;62724;10486;54402;64532
0.727994;62660;10486;54384;64604
0.728994;62596;10490;54368;64672
0.729994;62528;10486;54354;64748
0.730994;62462;10488;54332;64826
